1646915411.297638000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52475 | dst 17.248.173.8 : 443"
1646915411.635334000, Interface, TLS,"ocsp2.apple.com"," src 192.168.0.199 : 52476 | dst 17.253.73.201 : 443"
1646915412.285328000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52477 | dst 64.68.120.47 : 443"
1646915417.646580000, Interface, TLS,"configuration.ls.apple.com"," src 192.168.0.199 : 52478 | dst 2.23.9.112 : 443"
1646915418.107265000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52479 | dst 17.248.172.104 : 443"
1646915418.488829000, Interface, TLS,"metrics.icloud.com"," src 192.168.0.199 : 52480 | dst 17.248.172.103 : 443"
1646915422.223318000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52481 | dst 17.248.172.104 : 443"
1646915423.237944000, Interface, TLS,"ml.cdn-apple.com"," src 192.168.0.199 : 52482 | dst 17.253.73.201 : 443"
1646915424.746669000, Interface, TLS,"swscan.apple.com"," src 192.168.0.199 : 52483 | dst 2.23.8.209 : 443"
1646915424.973992000, Interface, TLS,"swdist.apple.com"," src 192.168.0.199 : 52484 | dst 2.23.8.209 : 443"
1646915447.612457000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52485 | dst 64.68.120.47 : 443"
1646915456.363284000, Interface, TLS,"doh.dns.apple.com"," src 192.168.0.199 : 52486 | dst 17.253.56.85 : 443"
1646915456.464654000, Interface, TLS,"pancake.apple.com"," src 192.168.0.199 : 52487 | dst 17.253.57.206 : 443"
1646915473.307316000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52488 | dst 64.68.120.47 : 443"
1646915486.875090000, Interface, TLS,"conv-k.wbx2.com"," src 192.168.0.199 : 52489 | dst 170.72.226.176 : 443"
1646915487.175142000, Interface, TLS,"retention-k.wbx2.com"," src 192.168.0.199 : 52490 | dst 170.72.226.118 : 443"
1646915491.401260000, Interface, TLS,"init.itunes.apple.com"," src 192.168.0.199 : 52491 | dst 23.73.140.46 : 443"
1646915506.730490000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52492 | dst 104.64.117.26 : 443"
1646915514.699703000, Interface, TLS,"ocsp2.apple.com"," src 192.168.0.199 : 52493 | dst 17.253.73.205 : 443"
1646915534.315339000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52494 | dst 64.68.120.47 : 443"
1646915539.510551000, Interface, TLS,"outlook.office365.com"," src 192.168.0.199 : 52495 | dst 52.97.137.146 : 443"
1646915595.295465000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52496 | dst 64.68.120.47 : 443"
1646915616.568857000, Interface, TLS,"locus-k.wbx2.com"," src 192.168.0.199 : 52497 | dst 170.72.226.133 : 443"
1646915616.931092000, Interface, TLS,"locus-a.wbx2.com"," src 192.168.0.199 : 52498 | dst 170.72.231.112 : 443"
1646915638.802906000, Interface, TLS,"usersub-k.wbx2.com"," src 192.168.0.199 : 52499 | dst 170.72.226.176 : 443"
1646915656.305918000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52500 | dst 64.68.120.47 : 443"
1646915686.701522000, Interface, TLS,"radarsubmissions.apple.com"," src 192.168.0.199 : 52501 | dst 17.137.170.2 : 443"
1646915690.188527000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52502 | dst 34.238.24.104 : 443"
1646915693.88254000, Interface, TLS,"iphonesubmissions.apple.com"," src 192.168.0.199 : 52503 | dst 17.171.98.35 : 443"
1646915717.296333000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52504 | dst 64.68.120.47 : 443"
1646915747.602255000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52505 | dst 64.68.120.47 : 443"
1646915778.297425000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52506 | dst 64.68.120.47 : 443"
