timestamp, source,"url","data"
1646913966.305292, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/220541/scholler_1024.png","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '415', 'tabId': 31, 'timeStamp': 1646913966305.292, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/220541/scholler_1024.png'}"
1646913966.305419, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/222927/thumbnail_Cena_empatie_umelci_Hudacinova_F09_1024.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '416', 'tabId': 31, 'timeStamp': 1646913966305.419, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/222927/thumbnail_Cena_empatie_umelci_Hudacinova_F09_1024.jpg'}"
1646913966.306971, Browser, TLS,"www.vut.cz/i/css/fonts/open-sans-bold.woff2","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '417', 'tabId': 31, 'timeStamp': 1646913966306.9712, 'type': 'font', 'url': 'https://www.vut.cz/i/css/fonts/open-sans-bold.woff2'}"
1646913966.307095, Browser, TLS,"www.vut.cz/i/www_base/css/icomoon/fonts/icomoon.ttf?l18pms","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '418', 'tabId': 31, 'timeStamp': 1646913966307.095, 'type': 'font', 'url': 'https://www.vut.cz/i/www_base/css/icomoon/fonts/icomoon.ttf?l18pms'}"
1646913966.326179, Browser, TLS,"www.vut.cz/i/css/fonts/open-sans-light.woff2","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '419', 'tabId': 31, 'timeStamp': 1646913966326.179, 'type': 'font', 'url': 'https://www.vut.cz/i/css/fonts/open-sans-light.woff2'}"
1646913966.364318, Browser, TLS,"cookiehub.net/c2/fefbe8d2.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '420', 'tabId': 31, 'timeStamp': 1646913966364.3179, 'type': 'script', 'url': 'https://cookiehub.net/c2/fefbe8d2.js'}"
1646913966.375958, Browser, TLS,"pagead2.googlesyndication.com/pagead/landing?gcs=G100&gcd=G100&rnd=1798762885.1646913966&url=https%3A%2F%2Fwww.vut.cz%2F&gtm=2wg370WCCFFS","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'POST', 'parentFrameId': -1, 'requestId': '421', 'tabId': 31, 'timeStamp': 1646913966375.958, 'type': 'ping', 'url': 'https://pagead2.googlesyndication.com/pagead/landing?gcs=G100&gcd=G100&rnd=1798762885.1646913966&url=https%3A%2F%2Fwww.vut.cz%2F&gtm=2wg370WCCFFS'}"
1646913966.376644, Browser, TLS,"www.googleadservices.com/pagead/conversion_async.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '422', 'tabId': 31, 'timeStamp': 1646913966376.6438, 'type': 'script', 'url': 'https://www.googleadservices.com/pagead/conversion_async.js'}"
1646913966.381398, Browser, TLS,"cookiehub.net/c2/css/2.4.2.css","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '423', 'tabId': 31, 'timeStamp': 1646913966381.398, 'type': 'stylesheet', 'url': 'https://cookiehub.net/c2/css/2.4.2.css'}"
1646913970.516219, Browser, TLS,"www.vut.cz/zivot","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '424', 'tabId': 31, 'timeStamp': 1646913970516.219, 'type': 'main_frame', 'url': 'https://www.vut.cz/zivot'}"
1646913970.660183, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149305/tech_park_640.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '425', 'tabId': 31, 'timeStamp': 1646913970660.1829, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149305/tech_park_640.jpg'}"
